canonical_drug_id,drug_name,drug_name_norm,n_pairs,li_hc_label_mean,li_hc_label_median,canonical_smiles,hcc_approved,rank_proxy_v2
1026,Tanespimycin,tanespimycin,15,0.7018839333333333,1.007171,C=CCNC1=C2C[C@@H](C)C[C@H](OC)[C@H](O)[C@@H](C)/C=C(\C)[C@H](OC(N)=O)[C@@H](OC)/C=C\C=C(/C)C(=O)NC(=CC1=O)C2=O,False,31
1843,LMP744,lmp744,15,0.7772593333333333,0.294894,COc1cc2c3c(n(CCCNCCO)c(=O)c2cc1OC)-c1cc2c(cc1C3=O)OCO2,False,32
1024,Lestaurtinib,lestaurtinib,15,0.8775692666666667,1.041565,C[C@]12O[C@H](C[C@]1(O)CO)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O,False,33
2040,Foretinib,foretinib,15,0.9759415333333333,0.914745,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,False,34
1845,Schweinfurthin A,schweinfurthin a,15,1.0311461333333334,1.302229,CC(C)=CCC/C(C)=C/Cc1c(O)cc(/C=C/c2cc(O)c3c(c2)C[C@@H]2C(C)(C)[C@H](O)[C@H](O)C[C@@]2(C)O3)cc1O,False,35
2174,IOX2,iox2,1,1.144202,1.144202,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O,False,36
1808,Topotecan,topotecan,15,1.2873542666666666,1.31806,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,False,37
1179,MK-1775,mk-1775,15,1.2893465333333334,1.134476,CC(C)(C1=NC(=CC=C1)N2C3=NC(=NC=C3C(=O)N2CC=C)NC4=CC=C(C=C4)N5CCN(CC5)C)O,False,38
1022,AZD7762,azd7762,15,1.3141511333333333,0.992421,NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1,False,39
1060,PD0325901,pd0325901,15,1.3481118,1.655925,[H][C@@](O)(CO)CONC(=O)C1=C(NC2=CC=C(I)C=C2F)C(F)=C(F)C=C1,False,40
1243,Piperlongumine,piperlongumine,1,1.385578,1.385578,COC1=CC(=CC(=C1OC)OC)C=CC(=O)N2CCC=CC2=O,False,41
1873,Buparlisib,buparlisib,15,1.3932568666666667,1.314257,Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1,False,42
1016,Temsirolimus,temsirolimus,15,1.4050334,1.66795,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OC(=O)C(C)(CO)CO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C,False,43
1930,Telomerase Inhibitor IX,telomerase inhibitor ix,15,1.408478,1.505778,C1=CC(=CC(=C1)NC(=O)C2=C(C(=CC=C2)O)O)NC(=O)C3=C(C(=CC=C3)O)O,False,44
1037,BX795,bx795,1,1.506538,1.506538,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,False,45
1926,GNE-317,gne-317,15,1.5304562,1.25628,CC1=C(SC2=C1N=C(N=C2N3CCOCC3)C4=CN=C(N=C4)N)C5(COC5)OC,False,46
1192,GSK269962A,gsk269962a,1,1.542902,1.542902,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,False,47
1809,Teniposide,teniposide,15,1.5567597333333334,1.188154,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,False,48
1190,Gemcitabine,gemcitabine,15,1.5911568,1.676526,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1,False,49
1058,Pictilisib,pictilisib,15,1.7684918,1.875845,CS(=O)(=O)N1CCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)CC1,False,50
2148,POMHEX,pomhex,14,1.8261464285714286,1.466828,CC(C)(C)C(=O)OCOP(=O)(C1CCCN(C1=O)O)OCOC(=O)C(C)(C)C,False,51
1079,Dasatinib,dasatinib,15,1.8262131333333333,1.558697,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,False,52
1810,Mitoxantrone,mitoxantrone,15,1.8792614666666667,1.111956,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,False,53
1012,Vorinostat,vorinostat,15,1.9672185999999998,2.14227,O=C(CCCCCCC(=O)Nc1ccccc1)NO,False,54
2177,SGC0946,sgc0946,15,1.9691801333333332,2.050763,CC(C)N(CCCNC(=O)NC1=CC=C(C=C1)C(C)(C)C)CC2C(C(C(O2)N3C=C(C4=C(N=CN=C43)N)Br)O)O,False,55
1129,PF-4708671,pf-4708671,1,1.99971,1.99971,CCC1=CN=CN=C1N2CCN(CC2)CC3=NC4=C(N3)C=C(C=C4)C(F)(F)F,False,56
1014,Refametinib,refametinib,15,2.1148600666666666,2.524198,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1,False,57
1149,TW 37,tw 37,7,2.2306912857142858,2.457273,CC(C)C1=CC=CC=C1CC1=C(O)C(O)=C(O)C(=C1)C(=O)NC1=CC=C(C=C1)S(=O)(=O)C1=CC=CC=C1C(C)(C)C,False,58
1706,AZD5153,azd5153,15,2.250261666666667,1.996305,COc1nnc2ccc(N3CCC(c4ccc(OCCN5CCN(C)C(=O)[C@H]5C)cc4)CC3)nn12,False,59
