candidate_id,canonical_drug_id,disease_id,rank,tier,score,evidence_summary,safety_score,verdict,admet_status,hard_fail,hard_fail_reasons,soft_flags,source_file,source_row_number
cand_15d806185b818c41,cdrug_f8909ca4d8abdc96,Liver,15,tier2,1.0201981,ADMET PASS but not HCC-approved,7.0,PASS,PASS,,,,Liver_final_admet.csv,3
cand_fff60430162e6160,cdrug_da0375af747f9b98,Liver,19,tier2,1.238154,ADMET PASS but not HCC-approved,6.4,PASS,PASS,,,,Liver_final_admet.csv,4
cand_4c71e6fc1c28fb2d,cdrug_a286fdd293b9be53,Liver,12,tier2,0.6874082,ADMET PASS but not HCC-approved,6.25,PASS,PASS,,,,Liver_final_admet.csv,5
cand_1e4dec397e3898b1,cdrug_ec25ee06790a07e7,Liver,5,tier3,-0.30921328,ADMET WARNING with multi-source support,5.5,WARNING,WARNING,,,,Liver_final_admet.csv,6
cand_84b8d16611d5040e,cdrug_9487650b5625fd2e,Liver,24,tier3,1.5069047,ADMET WARNING with multi-source support,5.5,WARNING,WARNING,,,,Liver_final_admet.csv,7
cand_c161fcbaabc70c57,cdrug_66e7da8131e061dc,Liver,17,tier3,1.1406467,ADMET WARNING with multi-source support,5.25,WARNING,WARNING,,,,Liver_final_admet.csv,8
cand_ddbeb50f24178654,cdrug_930e9d16bfde574a,Liver,29,tier3,1.900915,ADMET WARNING with multi-source support,5.25,WARNING,WARNING,,,,Liver_final_admet.csv,9
cand_7c1e4962d281f9ab,cdrug_c8c9b4017be1244b,Liver,2,tier3,-1.1402773,ADMET WARNING with multi-source support,5.0,WARNING,WARNING,,,,Liver_final_admet.csv,10
cand_89f8d534c3483b62,cdrug_52692989966fe3dc,Liver,4,tier3,-0.58910453,ADMET WARNING with multi-source support,5.0,WARNING,WARNING,,,,Liver_final_admet.csv,11
cand_63909d4a5df55873,cdrug_371d0df931c65f11,Liver,11,tier3,0.5785534,ADMET WARNING with multi-source support,5.0,WARNING,WARNING,,,,Liver_final_admet.csv,12
cand_458914af28402bee,cdrug_5d6b2e1a477d01ae,Liver,13,tier3,0.85031027,ADMET WARNING with multi-source support,5.0,WARNING,WARNING,,,,Liver_final_admet.csv,13
cand_640d1b8fa71981b5,cdrug_c8c9b4017be1244b,Liver,1,tier4,-1.2004384,ADMET WARNING with limited support,5.0,WARNING,WARNING,,,,Liver_final_admet.csv,14
cand_d0ceeec64f9d4777,cdrug_948943696293fe3b,Liver,14,tier4,0.95840305,ADMET WARNING with limited support,5.0,WARNING,WARNING,,,,Liver_final_admet.csv,15
cand_66f2ce42440f2a4b,cdrug_c86910ec6034862f,PAH,1,Tier4,-5.027996513166518,False,,Hard_Fail,Hard_Fail,True,Lipinski_Ro5_violations=3,Low_Caco2_logPapp<-5.15 (-6.65); High_hepatocyte_clearance>50 (51.5); High_microsome_clearance>50 (66.0); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,1
cand_0b4f405e3bae74d7,cdrug_ce69c6cebcd8dfd2,PAH,2,Tier4,-5.020776503991561,False,,Hard_Fail,Hard_Fail,True,Lipinski_Ro5_violations=3,Low_Caco2_logPapp<-5.15 (-6.67); High_hepatocyte_clearance>50 (51.1); High_microsome_clearance>50 (66.0); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,2
cand_fc5b6509a6aecdd4,cdrug_671bd3814b35b17c,PAH,3,Tier4,-4.899935859795952,False,,Prefilter_Excluded,Prefilter_Excluded,False,,DILI_prob>0.5 (0.568); CYP3A4_inhibition_prob>0.5 (0.550); Low_Caco2_logPapp<-5.15 (-5.35); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,3
cand_4c36ab9b03c56c85,cdrug_25eaec7308a97eee,PAH,4,Tier4,-4.532604298966646,False,,Prefilter_Excluded,Prefilter_Excluded,False,,DILI_prob>0.5 (0.737); CYP3A4_inhibition_prob>0.5 (0.594); Low_Caco2_logPapp<-5.15 (-5.38); High_hepatocyte_clearance>50 (85.5); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,4
cand_fb0de1147fee041f,cdrug_cf22ebf86bc799b9,PAH,5,Tier4,-4.520093807692293,False,,Hard_Fail,Hard_Fail,True,hERG_prob>0.7 (0.701),DILI_prob>0.5 (0.716); CYP3A4_inhibition_prob>0.5 (0.553); Low_Caco2_logPapp<-5.15 (-5.37); High_hepatocyte_clearance>50 (79.6); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,5
cand_caabe6bbdda218a7,cdrug_7545fce768975c03,PAH,6,Tier4,-4.478600174065137,False,,Prefilter_Excluded,Prefilter_Excluded,False,,DILI_prob>0.5 (0.645); CYP3A4_inhibition_prob>0.5 (0.567); Low_Caco2_logPapp<-5.15 (-5.41); High_hepatocyte_clearance>50 (51.5); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,6
cand_97fc72b4682490bd,cdrug_deeb078577e471b3,PAH,7,Tier4,-3.970184463231393,False,,Prefilter_Excluded,Prefilter_Excluded,False,,DILI_prob>0.5 (0.720); CYP3A4_inhibition_prob>0.5 (0.601); Low_Caco2_logPapp<-5.15 (-5.41); High_hepatocyte_clearance>50 (85.4); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,7
cand_2617ea18eb2e5fc8,cdrug_5330c9b8ef421a58,PAH,8,Tier4,-3.942495116517097,False,,Prefilter_Excluded,Prefilter_Excluded,False,,DILI_prob>0.5 (0.724); CYP3A4_inhibition_prob>0.5 (0.593); Low_Caco2_logPapp<-5.15 (-5.39); High_hepatocyte_clearance>50 (81.5); High_microsome_clearance>50 (55.2); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,8
cand_98b83109a882f300,cdrug_633891f706d06abd,PAH,9,Tier4,-3.9090298911156713,False,,Prefilter_Excluded,Prefilter_Excluded,False,,DILI_prob>0.5 (0.727); CYP3A4_inhibition_prob>0.5 (0.595); Low_Caco2_logPapp<-5.15 (-5.33); High_hepatocyte_clearance>50 (77.6); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,9
cand_e532f3cb5073baa1,cdrug_652bf5a33b201df2,PAH,10,Tier4,-3.884576892851337,False,,Prefilter_Excluded,Prefilter_Excluded,False,,DILI_prob>0.5 (0.783); CYP3A4_inhibition_prob>0.5 (0.715); PPB>95% (96.9); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,10
cand_3df7e9891cbf9676,cdrug_7a9366e5379eda11,PAH,11,Tier4,-3.865623419733475,False,,Prefilter_Excluded,Prefilter_Excluded,False,,DILI_prob>0.5 (0.782); CYP3A4_inhibition_prob>0.5 (0.605); Low_Caco2_logPapp<-5.15 (-5.29); High_microsome_clearance>50 (54.6); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,11
cand_93ff168e0f4e8c8b,cdrug_0fd545cc40bef19b,PAH,12,Tier4,-3.817480475219406,False,,Hard_Fail,Hard_Fail,True,Lipinski_Ro5_violations=3,Low_Caco2_logPapp<-5.15 (-6.67); High_hepatocyte_clearance>50 (53.2); High_microsome_clearance>50 (68.0); Tier4_prefilter:qed_below_0.5,PAH_final_admet.csv,12
