canonical_drug_id,DRUG_NAME,cosmic_drug_field,cosmic_drug_value,GENOMIC_MUTATION_ID,TRIAL_ID
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Lapatinib,Trastuzumab",,NCT00769470
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Fluorouracil,Gemcitabine",,NCT00670878
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Cyclophosphamide,Docetaxel,Epirubicin,Fluorouracil,Trastuzumab",,NCT00625898
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Lapatinib,Paclitaxel",,NCT00667251
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Lapatinib",,NCT03085368
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Fluorouracil,Trastuzumab",,NCT00593697
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Lapatinib,Paclitaxel",,NCT00486668
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Trastuzumab",,NCT03705429
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Cyclophosphamide,Docetaxel,Epirubicin,Trastuzumab",,NCT00464646
1819,Docetaxel,DRUG_COMBINATION,"Capecitabine,Cyclophosphamide,Docetaxel,Epirubicin,Trastuzumab",,NCT00288002
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Carboplatin,Docetaxel,Trastuzumab",,NCT00625898
1819,Docetaxel,DRUG_COMBINATION,"Capecitabine,Docetaxel,Epirubicin,Trastuzumab",,NCT00309556
1819,Docetaxel,DRUG_COMBINATION,"Bevacizumab,Docetaxel,Trastuzumab",,NCT00391092
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Trastuzumab",,NCT00288002
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Epirubicin,Trastuzumab",,NCT00567554
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Trastuzumab",,NCT00769470
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Trastuzumab",,NCT00047255
1819,Docetaxel,DRUG_COMBINATION,"Cyclophosphamide,Docetaxel,Doxorubicin hydrochloride",,NCT00121992
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT03161353
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT05871918
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT05883852
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT06884254
1819,Docetaxel,DRUG_COMBINATION,"Carboplatin,Docetaxel,Pertuzumab,Trastuzumab",,NCT04858529
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pertuzumab,Trastuzumab",,NCT02402712
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pertuzumab,Trastuzumab",,NCT02896855
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pertuzumab,Trastuzumab",,NCT00567190
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pertuzumab,Trastuzumab",,NCT02625441
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Trastuzumab",,NCT00430001
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Trastuzumab",,NCT00146549
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pyrotinib,Trastuzumab",,NCT03588091
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel,Pyrotinib,Trastuzumab",,NCT03863223
1819,Docetaxel,DRUG_COMBINATION,"Docetaxel or Nab-paclitaxel,Lobaplatin,Pertuzumab,Trastuzumab",,NCT07093931
