model,canonical_drug_id,drug_name,pred_rank,assay,category,assay_name,assay_type,match_type,similarity,predicted_label,status
LightGBM,CHEMBL1231124,AZD-1480,6,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.18518518518518517,1,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.2222222222222222,1,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.6551724137931034,87,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.18181818181818182,1,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.24615384615384617,0,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.24615384615384617,1,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.22580645161290322,0,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.18518518518518517,0,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.18518518518518517,0,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.18518518518518517,0,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.3698630136986301,6,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.4426229508196721,15,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,half_life_obach,Excretion,Half-Life,regression,no_match,0.18181818181818182,3,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.2037037037037037,0,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.21951219512195122,1,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.16901408450704225,0,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.21052631578947367,1,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.6551724137931034,2,no_data
LightGBM,CHEMBL1231124,AZD-1480,6,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.24,0,no_data
LightGBM,CHEMBL4303389,NS-018,7,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.1958762886597938,-5,no_data
LightGBM,CHEMBL4303389,NS-018,7,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.24,1,no_data
LightGBM,CHEMBL4303389,NS-018,7,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.20987654320987653,0,no_data
LightGBM,CHEMBL4303389,NS-018,7,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.24,1,no_data
LightGBM,CHEMBL4303389,NS-018,7,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.2625,1,no_data
LightGBM,CHEMBL4303389,NS-018,7,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.352112676056338,78,no_data
LightGBM,CHEMBL4303389,NS-018,7,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.24,35,no_data
LightGBM,CHEMBL4303389,NS-018,7,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.26153846153846155,0,no_data
LightGBM,CHEMBL4303389,NS-018,7,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.26153846153846155,0,no_data
LightGBM,CHEMBL4303389,NS-018,7,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.26153846153846155,0,no_data
LightGBM,CHEMBL4303389,NS-018,7,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.2054794520547945,1,no_data
LightGBM,CHEMBL4303389,NS-018,7,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.2054794520547945,1,no_data
LightGBM,CHEMBL4303389,NS-018,7,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.2054794520547945,0,no_data
LightGBM,CHEMBL4303389,NS-018,7,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.2558139534883721,3,no_data
LightGBM,CHEMBL4303389,NS-018,7,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.352112676056338,34,no_data
LightGBM,CHEMBL4303389,NS-018,7,half_life_obach,Excretion,Half-Life,regression,no_match,0.20481927710843373,5,no_data
LightGBM,CHEMBL4303389,NS-018,7,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.2125,1,no_data
LightGBM,CHEMBL4303389,NS-018,7,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.20689655172413793,1,no_data
LightGBM,CHEMBL4303389,NS-018,7,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.22580645161290322,1,no_data
LightGBM,CHEMBL4303389,NS-018,7,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.22972972972972974,2,no_data
LightGBM,CHEMBL4303389,NS-018,7,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.3048780487804878,2,no_data
LightGBM,CHEMBL4303389,NS-018,7,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.22388059701492538,-3,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.20952380952380953,-5,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.23076923076923078,1,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.23076923076923078,0,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.23076923076923078,0,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,bbb_martins,Distribution,BBB Penetration,binary,no_match,0.23376623376623376,1,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,ppbr_az,Distribution,Plasma Protein Binding Rate,regression,no_match,0.4578313253012048,96,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,vdss_lombardo,Distribution,Volume of Distribution,regression,no_match,0.4578313253012048,9,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,cyp2c9_veith,Metabolism,CYP2C9 Inhibitor,binary,no_match,0.26666666666666666,0,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,cyp2d6_veith,Metabolism,CYP2D6 Inhibitor,binary,no_match,0.26666666666666666,0,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,cyp3a4_veith,Metabolism,CYP3A4 Inhibitor,binary,no_match,0.26666666666666666,0,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,cyp2c9_substrate_carbonmangels,Metabolism,CYP2C9 Substrate,binary,no_match,0.23076923076923078,0,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,cyp2d6_substrate_carbonmangels,Metabolism,CYP2D6 Substrate,binary,no_match,0.23076923076923078,0,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,cyp3a4_substrate_carbonmangels,Metabolism,CYP3A4 Substrate,binary,no_match,0.23076923076923078,1,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,clearance_hepatocyte_az,Excretion,Hepatocyte Clearance,regression,no_match,0.2261904761904762,5,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,clearance_microsome_az,Excretion,Microsome Clearance,regression,no_match,0.4578313253012048,150,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,half_life_obach,Excretion,Half-Life,regression,no_match,0.23076923076923078,4,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,ames,Toxicity,Ames Mutagenicity,binary,no_match,0.3181818181818182,0,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,dili,Toxicity,DILI (Drug-Induced Liver Injury),binary,no_match,0.20689655172413793,0,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,herg,Toxicity,hERG Cardiotoxicity,binary,no_match,0.2,1,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,ld50_zhu,Toxicity,Acute Toxicity (LD50),regression,no_match,0.2608695652173913,2,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,lipophilicity_astrazeneca,Properties,Lipophilicity (logD),regression,no_match,0.275,1,no_data
LightGBM,CHEMBL3936761,ZANUBRUTINIB,8,solubility_aqsoldb,Properties,Aqueous Solubility,regression,no_match,0.24615384615384617,-7,no_data
LightGBM,CHEMBL4756476,NEMTABRUTINIB,9,caco2_wang,Absorption,Caco-2 Permeability,regression,no_match,0.21428571428571427,-5,no_data
LightGBM,CHEMBL4756476,NEMTABRUTINIB,9,hia_hou,Absorption,HIA (Human Intestinal Absorption),binary,no_match,0.22077922077922077,1,no_data
LightGBM,CHEMBL4756476,NEMTABRUTINIB,9,pgp_broccatelli,Absorption,P-gp Inhibitor,binary,no_match,0.23958333333333334,1,no_data
LightGBM,CHEMBL4756476,NEMTABRUTINIB,9,bioavailability_ma,Absorption,Oral Bioavailability (F>20%),binary,no_match,0.22077922077922077,1,no_data
